Price,Prediction
24.75,25.682780612244898
24.0,25.702379542378175
25.0,25.722028469782202
24.75,25.74172752200103
24.75,25.76122172486328
24.75,25.781403412936914
24.5,25.80189168694951
24.0,25.82421794125295
24.25,25.846728701307164
24.25,25.869551988810503
24.5,25.892688601026855
24.75,25.916266888274368
24.5,25.94105328339752
24.5,25.966413113202105
24.0,25.989541718082727
23.0,26.01158136532273
22.25,26.031381317785286
23.5,26.052252188493924
23.75,26.073941607342125
23.5,26.09466594817718
23.75,26.11531560620824
23.75,26.13576283989755
23.75,26.156262234897287
23.5,26.176176169169988
23.5,26.195885802254605
23.5,26.215007959913414
23.5,26.234434000627484
23.5,26.25531265879235
23.25,26.276499680881106
23.5,26.29761320047519
24.5,26.317632621904973
23.75,26.33808576634861
22.5,26.35859108718113
22.75,26.37838341138312
23.25,26.39809867518767
24.25,26.416588722828454
24.25,26.4348708369173
24.25,26.452689384970665
24.0,26.47017073544253
23.75,26.488844640379877
23.75,26.50743863180942
23.5,26.52620760791098
23.5,26.545024464053604
23.75,26.564016873400682
23.75,26.583440385832823
23.75,26.60291344804158
23.8,26.622308635409034
23.8,26.64111554519324
23.8,26.659205125665675
23.75,26.677213302006656
23.75,26.695139866552594
23.75,26.71285706008972
23.6,26.72870618524301
23.65,26.74523349694006
23.4,26.762440725248577
23.0,26.7784163393436
22.65,26.79507046265825
22.05,26.811767070981357
22.15,26.828506272693044
22.9,26.845925931551957
23.0,26.862752273214078
23.0,26.87962153921718
22.9,26.895896083960075
22.45,26.91221214539875
22.3,26.927294319239053
22.6,26.94113945780854
22.6,26.954382160507034
22.85,26.968296400712404
22.2,26.983521646632592
22.25,26.995596956955634
22.15,27.007065316539702
21.3,27.019200687245164
21.45,27.032004770630994
22.0,27.044203762392804
22.3,27.056433874031562
23.0,27.067419674730623
23.4,27.078433500431466
23.5,27.087562157320324
23.5,27.097989611803282
23.8,27.107805911833395
23.75,27.117009498343172
23.7,27.127512073594048
23.5,27.138679196230765
23.3,27.149874806425235
23.25,27.159823466645705
23.2,27.169797506101435
23.45,27.179159234433325
23.45,27.18918259982729
23.45,27.19986929013297
23.7,27.211220997505762
23.85,27.221963908213684
25.5,27.232734224306064
26.0,27.24416977079664
26.5,27.255634489599696
26.9,27.266490700032346
27.05,27.277374604879366
26.85,27.288286274789773
26.8,27.29922578059281
26.9,27.310193193298403
26.9,27.32118858409763
26.45,27.332212024363187
26.1,27.34326358564983
26.05,27.354343339694854
26.15,27.365451358418564
