Price,Prediction
24.75,5.112499999999999
24.0,5.0874999999999995
25.0,5.125
24.75,5.0875
24.75,5.1125
24.75,5.15
24.5,5.199999999999999
24.0,8.0375
24.25,5.025
24.25,5.3
24.5,5.325
24.75,5.325
24.5,5.375
24.5,5.5125
24.0,5.425
23.0,5.4625
22.25,5.4875
23.5,5.487500000000001
23.75,5.4625
23.5,5.475
23.75,5.737500000000001
23.75,4.5125
23.75,5.4875
23.5,5.5375
23.5,5.6
23.5,5.6375
23.5,5.7125
23.5,4.4125
23.25,6.5375
23.5,6.2375
24.5,4.5625
23.75,5.7749999999999995
22.5,5.7749999999999995
22.75,5.8
23.25,5.85
24.25,5.925000000000001
24.25,5.9375
24.25,5.9
24.0,5.6375
23.75,5.925
23.75,5.937499999999999
23.5,5.949999999999999
23.5,6.0
23.75,6.05
23.75,6.237500000000001
23.75,6.3125
23.8,6.4
23.8,6.1625
23.8,6.25
23.75,6.3375
23.75,7.6000000000000005
23.75,7.4875
23.6,7.4625
23.65,7.475
23.4,7.4125
23.0,7.4875
22.65,7.5
22.05,7.425
22.15,6.1375
22.9,6.1499999999999995
23.0,7.387499999999999
23.0,7.3999999999999995
22.9,7.475
22.45,7.65
22.3,7.7125
22.6,7.8625
22.6,6.5125
22.85,7.9125000000000005
22.2,9.6125
22.25,15.412500000000001
22.15,13.8875
21.3,13.3125
21.45,13.4375
22.0,13.625
22.3,13.7375
23.0,13.7
23.4,13.8
23.5,13.725
23.5,13.7875
23.8,13.925
23.75,13.862499999999999
23.7,13.9625
23.5,13.925
23.3,13.875
23.25,14.0625
23.2,14.024999999999999
23.45,14.1375
23.45,14.2625
23.45,14.274999999999999
23.7,14.2625
23.85,8.475
25.5,17.65
26.0,14.6875
26.5,14.600000000000001
26.9,14.6625
27.05,14.6875
26.85,14.7375
26.8,14.762500000000001
26.9,15.025
26.9,15.125
26.45,15.112499999999999
26.1,15.2125
26.05,15.125
26.15,15.024999999999999
26.15,15.2
26.0,15.25
26.05,15.287500000000001
26.5,14.2
26.6,14.337499999999999
26.55,14.450000000000001
26.0,11.462499999999999
26.1,17.65
26.45,14.287500000000001
26.5,14.287500000000001
26.6,14.3625
26.8,14.5
27.0,14.475000000000001
26.9,14.45
26.9,14.4875
26.75,14.5875
27.0,14.7375
27.75,14.6375
28.5,14.625
28.0,14.662500000000001
28.55,14.774999999999999
28.65,15.0
28.15,15.1
27.95,15.1
27.6,15.3125
27.25,15.4375
27.1,15.3625
27.55,15.5
27.9,12.1125
28.1,16.4
28.1,15.337499999999999
28.05,15.2875
